,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
221,SRTC,,26,15,17,680741.5574630001,7641704.5849399995
222,SRTC,,82,16,17,680741.5574630001,7641704.5849399995
223,SRTC,,84,16,18,680741.5574630001,7641704.5849399995
224,SRTC,,22,17,19,680741.5574630001,7641704.5849399995
225,SRTC,,44,17,21,680741.5574630001,7641704.5849399995
226,SRTC,,9,18,20,680741.5574630001,7641704.5849399995
227,SRTC,,33,18,21,680741.5574630001,7641704.5849399995
228,UCB,,25,10,11,680315.189161,7642847.982360001
229,URBN,,44,8,9,680315.189161,7642847.982360001
230,URBN,,13,9,11,680315.189161,7642847.982360001
231,URBN,,147,10,11,680315.189161,7642847.982360001
232,URBN,,11,10,12,680315.189161,7642847.982360001
233,URBN,,171,12,13,680315.189161,7642847.982360001
234,URBN,,22,13,15,680315.189161,7642847.982360001
235,URBN,,136,14,15,680315.189161,7642847.982360001
236,URBN,,13,16,17,680315.189161,7642847.982360001
237,URBN,,52,16,18,680315.189161,7642847.982360001
238,URBN,,47,17,21,680315.189161,7642847.982360001
239,URBN,,39,18,21,680315.189161,7642847.982360001
240,USB,,11,13,13,680325.4741560001,7642595.26432
241,UTS,,69,8,9,678770.333626,7642673.465030001
242,UTS,,381,10,11,678770.333626,7642673.465030001
243,UTS,,268,12,13,678770.333626,7642673.465030001
244,UTS,,295,14,15,678770.333626,7642673.465030001
245,UTS,,203,16,18,678770.333626,7642673.465030001
246,UTS,,64,17,19,678770.333626,7642673.465030001
247,UTS,,56,17,21,678770.333626,7642673.465030001
